Synthetic,Actual,Similarity
timeseries_572.csv,timeseries_604.csv,-2.5167731456354607
timeseries_848.csv,timeseries_998.csv,-3.708703400097642
timeseries_1439.csv,timeseries_600.csv,-4.165709352024044
timeseries_812.csv,timeseries_963.csv,-3.8961020550833174
timeseries_551.csv,timeseries_571.csv,-2.6288905199751147
timeseries_1292.csv,timeseries_568.csv,-3.0214035674286936
timeseries_1236.csv,timeseries_581.csv,-4.643940946540064
timeseries_1157.csv,timeseries_587.csv,-5.291517692866535
timeseries_1370.csv,timeseries_587.csv,-4.1459870439906
timeseries_736.csv,timeseries_984.csv,-2.7652982509131947
timeseries_695.csv,timeseries_570.csv,-4.256062312915234
timeseries_976.csv,timeseries_578.csv,-3.882837368365018
timeseries_130.csv,timeseries_580.csv,-2.8221666269874044
timeseries_1106.csv,timeseries_584.csv,-2.9326091948332205
timeseries_309.csv,timeseries_399.csv,0.27875531443289003
timeseries_1295.csv,timeseries_601.csv,-3.1588558880924618
timeseries_1163.csv,timeseries_973.csv,-3.692671809930112
timeseries_421.csv,timeseries_584.csv,-3.086066317985755
timeseries_1218.csv,timeseries_582.csv,-3.030011009684941
timeseries_1220.csv,timeseries_997.csv,-3.8262532540110747
timeseries_1378.csv,timeseries_989.csv,-3.464865416479096
timeseries_227.csv,timeseries_572.csv,-2.9888521417230125
timeseries_63.csv,timeseries_579.csv,-4.0509230616617575
timeseries_603.csv,timeseries_829.csv,0.05380181454626576
timeseries_1184.csv,timeseries_602.csv,-3.25670650896705
timeseries_938.csv,timeseries_955.csv,-4.171707618924272
timeseries_965.csv,timeseries_580.csv,-3.921089820269944
timeseries_1211.csv,timeseries_976.csv,-3.0379008910367675
timeseries_1096.csv,timeseries_571.csv,-2.9305236254735902
timeseries_1166.csv,timeseries_583.csv,-3.584982924606254
timeseries_1038.csv,timeseries_571.csv,-2.8298722121260527
timeseries_388.csv,timeseries_977.csv,-4.313807145324124
timeseries_648.csv,timeseries_577.csv,-2.3721041985186306
timeseries_166.csv,timeseries_583.csv,-2.780253201296022
timeseries_1037.csv,timeseries_584.csv,-3.085054861743897
timeseries_95.csv,timeseries_583.csv,-2.493441276856261
timeseries_219.csv,timeseries_576.csv,-1.624164071323869
timeseries_804.csv,timeseries_589.csv,-2.725423240781235
timeseries_323.csv,timeseries_575.csv,-3.7997687333068333
timeseries_772.csv,timeseries_960.csv,-4.040381094389352
timeseries_1177.csv,timeseries_579.csv,-4.972763597268056
timeseries_438.csv,timeseries_601.csv,-4.036062068990074
timeseries_662.csv,timeseries_571.csv,-2.2175017952051044
timeseries_522.csv,timeseries_994.csv,-4.108203788807558
timeseries_340.csv,timeseries_595.csv,-3.296463472633386
timeseries_1375.csv,timeseries_574.csv,-2.647370900858826
timeseries_623.csv,timeseries_347.csv,-0.5316527200927743
timeseries_455.csv,timeseries_585.csv,-4.219342315013142
timeseries_908.csv,timeseries_1096.csv,-0.2717168904103755
timeseries_800.csv,timeseries_985.csv,-2.810315756819003
timeseries_1395.csv,timeseries_587.csv,-3.635273332953835
timeseries_1350.csv,timeseries_586.csv,-3.4075950684134666
timeseries_1311.csv,timeseries_603.csv,-3.9318864678472254
timeseries_1043.csv,timeseries_996.csv,-4.39764686241548
timeseries_1397.csv,timeseries_590.csv,-2.5220908905324766
timeseries_1011.csv,timeseries_574.csv,-3.947013559534647
timeseries_3.csv,timeseries_347.csv,-0.25615917555464596
timeseries_476.csv,timeseries_583.csv,-3.115417265174587
timeseries_114.csv,timeseries_419.csv,-4.265492933995643
timeseries_866.csv,timeseries_574.csv,-3.3046779554937835
timeseries_1232.csv,timeseries_602.csv,-3.5877415929356333
timeseries_779.csv,timeseries_587.csv,-4.085967239283818
timeseries_277.csv,timeseries_597.csv,-2.3852160811431338
timeseries_1409.csv,timeseries_999.csv,-3.366724840772931
timeseries_183.csv,timeseries_954.csv,-3.7400654769600346
timeseries_914.csv,timeseries_605.csv,0.1223547481105145
timeseries_1186.csv,timeseries_587.csv,-3.8995864293181413
timeseries_218.csv,timeseries_585.csv,-3.7695928667749756
timeseries_1337.csv,timeseries_580.csv,-2.557699350138745
timeseries_207.csv,timeseries_587.csv,-4.313022649395158
timeseries_935.csv,timeseries_586.csv,-4.807954281835773
timeseries_830.csv,timeseries_568.csv,-3.5610807622885243
timeseries_519.csv,timeseries_577.csv,-3.318495173351037
timeseries_1159.csv,timeseries_982.csv,-3.360790592905044
timeseries_1340.csv,timeseries_581.csv,-4.700307366425988
timeseries_745.csv,timeseries_594.csv,-4.471776992205359
timeseries_621.csv,timeseries_594.csv,-4.865524353444181
timeseries_1272.csv,timeseries_971.csv,-4.260612815723393
timeseries_996.csv,timeseries_586.csv,-4.397470666832619
timeseries_1009.csv,timeseries_996.csv,-4.58406044923371
timeseries_106.csv,timeseries_954.csv,-3.734589169391281
timeseries_1215.csv,timeseries_988.csv,-3.786908075145365
timeseries_1197.csv,timeseries_603.csv,-3.620759369842218
timeseries_1226.csv,timeseries_582.csv,-3.0248907004781502
timeseries_224.csv,timeseries_961.csv,-4.402459756323042
